CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
6D,700 BARTLETT AVE,LARCENY FROM AUTO,Other,F,41.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-04-24,11:00 PM,2023,24,April
6F,2600 E BIDDLE ST,LARCENY,Other,M,53.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-04-24,9:00 PM,2023,24,April
6D,6600 MARIETTA AVE,LARCENY FROM AUTO,Other,F,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-04-24,2:30 PM,2023,24,April
6D,5700 MAPLEHILL RD,LARCENY FROM AUTO,Other,F,67.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-04-24,6:00 PM,2023,24,April
6F,700 DRUID PARK LAKE DR,LARCENY,Other,F,52.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-04-25,4:30 AM,2023,25,April
4B,400 CATHEDRAL ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,31.0,WHITE,CENTRAL,2023-04-24,10:00 AM,2023,24,April
6C,6300 YORK RD,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-04-25,3:22 AM,2023,25,April
7C,2500 N CHARLES ST,AUTO THEFT,Other,F,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-06-20,9:10 PM,2023,20,June
5A,200 E BIDDLE ST,BURGLARY,Other,F,25.0,WHITE,CENTRAL,2023-06-20,8:42 PM,2023,20,June
4A,2500 WASHINGTON BLVD,AGG. ASSAULT,FIREARM,M,53.0,WHITE,SOUTHWEST,2023-06-20,10:50 PM,2023,20,June
4E,0 LIGHT ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,28.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-20,11:24 PM,2023,20,June
4D,2800 SUNSET DR,AGG. ASSAULT,Other,F,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-06-20,11:45 PM,2023,20,June
7C,200 E 28TH ST,AUTO THEFT,Other,M,32.0,OTHER,NORTHERN,2023-06-21,1:30 AM,2023,21,June
7C,2600 N CHARLES ST,AUTO THEFT,Other,F,30.0,OTHER,NORTHERN,2023-06-21,3:30 AM,2023,21,June
6F,3600 10TH ST,LARCENY,Other,F,37.0,WHITE,SOUTHERN,2023-06-20,2:37 PM,2023,20,June
7C,600 S LUZERNE AVE,AUTO THEFT,Other,M,49.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-21,2:00 AM,2023,21,June
7C,4000 RIDGECROFT RD,AUTO THEFT,Other,F,61.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-06-21,2:00 AM,2023,21,June
7C,1000 St Paul Street,AUTO THEFT,Other,M,46.0,WHITE,CENTRAL,2023-06-21,12:30 AM,2023,21,June
7C,2300 EUTAW PL,AUTO THEFT,Other,F,28.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,2023-06-21,12:00 AM,2023,21,June
4E,7000 HARFORD RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,67.0,WHITE,NORTHEAST,2023-06-21,2:00 AM,2023,21,June
4E,800 N WOLFE ST,COMMON ASSAULT,Other,M,24.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-21,2:50 AM,2023,21,June
5A,1600 S ELLAMONT ST,BURGLARY,Other,F,15.0,OTHER,SOUTHWEST,2023-06-20,5:00 PM,2023,20,June
7C,3800 NORFOLK AVE,AUTO THEFT,Other,M,65.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-06-20,6:00 PM,2023,20,June
5F,500 HOLTZMAN CT,BURGLARY,Other,M,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-06-20,7:45 AM,2023,20,June
6D,1400 E LANVALE ST,LARCENY FROM AUTO,Other,F,30.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-06-20,7:00 AM,2023,20,June
3AJF,5000 PILGRIM RD,ROBBERY - CARJACKING,HANDGUN,M,39.0,OTHER,NORTHEAST,2023-05-14,6:00 AM,2023,14,May
7C,2100 W LAFAYETTE AVE,AUTO THEFT,Other,F,34.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-14,6:24 PM,2023,14,May
6D,1100 ELBANK AVE,LARCENY FROM AUTO,Other,F,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-15,5:00 AM,2023,15,May
7C,3200 TIOGA PKWY,AUTO THEFT,Other,F,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-14,2:00 PM,2023,14,May
6F,1500 N CAROLINE ST,LARCENY,Other,F,33.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-14,7:40 PM,2023,14,May
4E,3600 COTTAGE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,51.0,WHITE,NORTHWEST,2023-05-14,7:31 PM,2023,14,May
6D,3300 LEIGHTON AVE,LARCENY FROM AUTO,Other,F,34.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-15,4:00 AM,2023,15,May
4E,3300 WILKENS AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,50.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-15,4:21 AM,2023,15,May
3AF,3000 VINEYARD LN,ROBBERY,HANDGUN,M,18.0,WHITE,NORTHERN,2023-05-15,3:40 AM,2023,15,May
4E,2600 GATEHOUSE DR,COMMON ASSAULT,PERSONAL_WEAPONS,F,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-15,5:40 AM,2023,15,May
7C,200 MALLOW HILL RD,AUTO THEFT,Other,F,55.0,WHITE,SOUTHWEST,2023-05-15,3:30 AM,2023,15,May
4B,2600 JEFFERSON ST,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,34.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,2023-05-15,4:45 AM,2023,15,May
