CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"6/11/2023, 7:54 PM",4A,6500 EASTERN AVE,AGG. ASSAULT,FIREARM,M,46,WHITE,SOUTHEAST
"6/11/2023, 6:00 AM",8H,5200 READY AVE,ARSON,,M,25,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/11/2023, 6:00 AM",8H,5200 READY AVE,ARSON,,F,22,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/11/2023, 7:49 AM",4E,1100 S CHARLES ST,COMMON ASSAULT,,M,,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"5/6/2023, 1:30 AM",4E,1100 N MOUNT ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/6/2023, 1:00 AM",4E,2400 MARBOURNE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,24,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"5/6/2023, 1:00 AM",4E,2400 MARBOURNE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"5/6/2023, 1:45 AM",4E,5500 WINTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"5/5/2023, 6:00 PM",4E,4300 ROLAND AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,79,WHITE,NORTHERN
"5/5/2023, 3:40 PM",7C,1400 LEMMON ST,AUTO THEFT,,M,82,WHITE,SOUTHERN
"5/5/2023, 11:31 PM",4E,1300 KITMORE RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,14,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/5/2023, 4:12 PM",6D,1100 PARK AVE,LARCENY FROM AUTO,,M,31,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/5/2023, 10:00 AM",6F,2500 E BALTIMORE ST,LARCENY,,F,62,WHITE,SOUTHEAST
"5/5/2023, 5:00 PM",4E,5600 SEFTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,14,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/5/2023, 9:45 PM",6J,4000 AYRDALE AVE,LARCENY,,,,,NORTHWEST
"5/5/2023, 8:10 PM",7C,1600 INVERNESS AVE,AUTO THEFT,,M,65,WHITE,SOUTHWEST
"5/5/2023, 11:00 PM",6G,3600 CLIPPER MILL RD,LARCENY,,,,,NORTHERN
"5/6/2023, 4:30 AM",6J,2500 TALBOT RD,LARCENY,,,,,NORTHWEST
"5/5/2023, 8:15 AM",5F,300 N BROADWAY,BURGLARY,,,,,SOUTHEAST
"5/5/2023, 7:41 PM",6C,200 W CHASE ST,LARCENY,,,,,CENTRAL
"5/5/2023, 11:36 PM",6C,2700 REMINGTON AVE,LARCENY,,,,,NORTHERN
"5/5/2023, 4:20 PM",5A,500 E 23RD ST,BURGLARY,,,,,EASTERN
"4/26/2023, 3:25 AM",4B,2300 W NORTH AVE,AGG. ASSAULT,PERSONAL_WEAPONS,F,19,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"4/26/2023, 2:50 AM",3AJF,2100 CRIMEA RD,ROBBERY - CARJACKING,RIFLE,M,19,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"4/26/2023, 3:11 AM",4E,400 GWYNN AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,37,AMERICAN_INDIAN_OR_ALASKA_NATIVE,SOUTHWEST
"4/26/2023, 4:15 AM",4E,1700 W LEXINGTON ST,COMMON ASSAULT,,F,38,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"4/26/2023, 4:10 AM",3GO,100 S BROADWAY,ROBBERY,BLUNT_OBJECT,M,26,,SOUTHEAST
"4/26/2023, 4:30 AM",4E,600 LAURENS ST,COMMON ASSAULT,,U,,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"4/26/2023, 4:50 AM",3AF,1000 HENDLER LN,ROBBERY,HANDGUN,M,23,ASIAN,CENTRAL
"4/25/2023, 11:00 PM",6D,1200 ROSSITER AVE,LARCENY FROM AUTO,,M,25,NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,NORTHEAST
"4/26/2023, 3:00 AM",6D,1200 N BROADWAY,LARCENY FROM AUTO,,F,48,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"4/26/2023, 3:30 AM",7C,1900 BAKER ST,AUTO THEFT,,M,36,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"4/24/2023, 6:00 AM",6F,2700 W FRANKLIN ST,LARCENY,,,,,SOUTHWEST
"4/24/2023, 6:57 AM",6D,100 S CURLEY ST,LARCENY FROM AUTO,,F,40,WHITE,SOUTHEAST
"4/25/2023, 4:27 AM",4D,0 S GREENE ST,AGG. ASSAULT,HANDGUN,M,22,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"4/24/2023, 6:57 AM",6D,100 S CURLEY ST,LARCENY FROM AUTO,,M,41,WHITE,SOUTHEAST
"4/24/2023, 9:49 AM",4E,6000 CHINQUAPIN PKWY,COMMON ASSAULT,,F,22,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"4/24/2023, 4:00 PM",4E,900 ENSOR ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,31,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/21/2023, 6:00 AM",4B,4800 ERDMAN AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,31,BLACK_OR_AFRICAN_AMERICAN,EASTERN
