CrimeDateTime,CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District
"5/21/2023, 9:50 PM",4E,300 E LANVALE ST,COMMON ASSAULT,,M,15,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/21/2023, 7:45 PM",7C,1200 SILVERTHORNE RD,AUTO THEFT,,M,18,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"5/22/2023, 4:03 AM",4E,5000 CLIFTON AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,28,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"5/22/2023, 4:30 AM",4B,2300 KIRK AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,29,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"5/22/2023, 4:25 AM",4B,200 W MULBERRY ST,AGG. ASSAULT,BLUNT_OBJECT,M,23,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/22/2023, 5:05 AM",4B,1600 W NORTH AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,31,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/22/2023, 5:05 AM",4B,1600 W NORTH AVE,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,F,29,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"5/22/2023, 5:20 AM",4E,2900 GREENMOUNT AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,55,WHITE,NORTHERN
"5/22/2023, 5:30 AM",4C,700 RESERVOIR ST,AGG. ASSAULT,OTHER,F,14,BLACK_OR_AFRICAN_AMERICAN,CENTRAL
"5/22/2023, 3:30 AM",6F,100 WATER ST,LARCENY,,F,54,WHITE,CENTRAL
"5/22/2023, 4:30 AM",3AF,6100 DUNROMING RD,ROBBERY,HANDGUN,M,55,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"3/31/2023, 6:50 PM",3LF,3600 BOSTON ST,ROBBERY,PERSONAL_WEAPONS,F,,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"3/31/2023, 7:00 PM",4E,500 KANE ST,COMMON ASSAULT,PERSONAL_WEAPONS,M,31,WHITE,SOUTHEAST
"4/1/2023, 3:20 AM",4B,2500 GWYNNS FALLS PKWY,AGG. ASSAULT,BLUNT_OBJECT,M,67,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"3/31/2023, 10:00 PM",6F,700 N CHESTER ST,LARCENY,,M,28,ASIAN,EASTERN
"4/1/2023, 5:00 AM",7C,2600 MOORE AVE,AUTO THEFT,,F,36,WHITE,NORTHEAST
"4/1/2023, 12:00 AM",7C,6800 REISTERSTOWN RD,AUTO THEFT,,F,31,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"4/1/2023, 3:20 AM",4B,2500 GWYNNS FALLS PKWY,AGG. ASSAULT,BLUNT_OBJECT,F,20,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"4/1/2023, 1:00 AM",6D,5200 LOCH RAVEN BLVD,LARCENY FROM AUTO,,F,33,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"4/1/2023, 3:00 AM",7C,2500 LOYOLA SOUTHWAY,AUTO THEFT,,M,33,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"4/1/2023, 12:00 AM",6D,6200 BROWN AVE,LARCENY FROM AUTO,,M,30,WHITE,SOUTHEAST
"3/31/2023, 11:00 PM",7C,1100 CEDARCROFT RD,AUTO THEFT,,F,20,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"4/1/2023, 4:15 AM",7C,4500 THE ALAMEDA,AUTO THEFT,,F,35,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"3/31/2023, 4:00 PM",5A,2300 ORLEANS ST,BURGLARY,,M,46,,SOUTHEAST
"3/31/2023, 7:30 AM",6J,3000 MCELDERRY ST,LARCENY,,F,27,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST
"3/31/2023, 2:57 PM",4E,3400 WOODSTOCK AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,18,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"3/31/2023, 2:57 PM",4E,3400 WOODSTOCK AVE,COMMON ASSAULT,PERSONAL_WEAPONS,F,14,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"4/1/2023, 3:20 AM",4B,2500 GWYNNS FALLS PKWY,AGG. ASSAULT,BLUNT_OBJECT,F,35,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"6/11/2023, 5:00 AM",5A,3100 N CALVERT ST,BURGLARY,,M,20,,NORTHERN
"6/11/2023, 2:00 AM",2A,1300 E NORTHERN PKWY,RAPE,PERSONAL_WEAPONS,F,32,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/10/2023, 5:30 PM",7C,3200 E PRATT ST,AUTO THEFT,,M,35,,SOUTHEAST
"6/10/2023, 3:40 PM",4B,700 Bonaparte Ave,AGG. ASSAULT,BLUNT_OBJECT,M,24,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST
"6/10/2023, 6:00 AM",7C,3300 CLIFTON AVE,AUTO THEFT,,F,34,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/10/2023, 3:50 PM",4E,2700 W LAFAYETTE AVE,COMMON ASSAULT,,F,42,BLACK_OR_AFRICAN_AMERICAN,WESTERN
"6/10/2023, 1:00 PM",6J,2100 MCHENRY ST,LARCENY,,M,52,,SOUTHWEST
"6/10/2023, 4:00 PM",4E,600 E 27TH ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,20,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
"6/10/2023, 12:45 PM",4E,600 E 34TH ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,43,WHITE,NORTHERN
"6/10/2023, 11:00 PM",4E,1300 JAMES ST,COMMON ASSAULT,PERSONAL_WEAPONS,F,33,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN
"6/10/2023, 6:20 PM",4E,5300 DENMORE AVE,COMMON ASSAULT,PERSONAL_WEAPONS,M,61,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/10/2023, 7:21 PM",4B,2300 E MONUMENT ST,AGG. ASSAULT,BLUNT_OBJECT,F,45,BLACK_OR_AFRICAN_AMERICAN,EASTERN
"6/10/2023, 4:00 PM",4E,2500 GATEHOUSE DR,COMMON ASSAULT,PERSONAL_WEAPONS,F,32,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST
"6/10/2023, 3:12 PM",5A,100 S AUGUSTA AVE,BURGLARY,,M,66,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST
"6/10/2023, 7:28 PM",4E,6000 NORTHWOOD DR,COMMON ASSAULT,,F,42,BLACK_OR_AFRICAN_AMERICAN,NORTHERN
