CrimeCode,Location,Description,Weapon,Victim_Gender,Victim_Age,Victim_Race,District,Date,Time,Year,Day,Month
9S,1500 W NORTH AVE,SHOOTING,FIREARM,M,20.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-05-30,11:19 PM,2023,30,May
7C,2300 KOKO LN,AUTO THEFT,Other,U,38.0,OTHER,WESTERN,2023-05-31,3:00 AM,2023,31,May
6F,400 E PRATT ST,LARCENY,Other,U,38.0,OTHER,CENTRAL,2023-05-30,3:10 PM,2023,30,May
6C,5800 YORK RD,LARCENY,Other,U,38.0,OTHER,NORTHERN,2023-05-30,9:38 PM,2023,30,May
3CO,600 E 33RD ST,ROBBERY - COMMERCIAL,KNIFE_CUTTING_INSTRUMENT,U,38.0,OTHER,NORTHERN,2023-05-30,9:50 PM,2023,30,May
7C,3800 SINCLAIR LN,AUTO THEFT,Other,U,38.0,OTHER,NORTHEAST,2023-05-30,11:30 PM,2023,30,May
3CO,4100 PATTERSON AVE,ROBBERY - COMMERCIAL,PERSONAL_WEAPONS,U,38.0,OTHER,NORTHWEST,2023-05-31,4:50 AM,2023,31,May
7C,3400 PIEDMONT AVE,AUTO THEFT,Other,U,38.0,OTHER,NORTHWEST,2023-05-30,8:00 AM,2023,30,May
6G,3000 W NORTH AVE,LARCENY,Other,U,38.0,OTHER,SOUTHWEST,2023-05-30,5:30 PM,2023,30,May
6J,6600 DANVILLE AVE,LARCENY,Other,M,81.0,WHITE,SOUTHEAST,2023-05-30,6:00 PM,2023,30,May
7C,800 W WEST ST,AUTO THEFT,Other,U,38.0,OTHER,SOUTHERN,2023-05-31,1:00 AM,2023,31,May
7C,3300 ANNAPOLIS RD,AUTO THEFT,Other,U,38.0,OTHER,SOUTHERN,2023-05-31,3:00 AM,2023,31,May
6F,100 S LOUDON AVE,LARCENY,Other,U,38.0,OTHER,SOUTHWEST,2023-05-30,6:00 PM,2023,30,May
5B,2200 PRESSTMAN ST,BURGLARY,Other,U,38.0,OTHER,WESTERN,2023-05-30,9:10 AM,2023,30,May
7C,3200 FREDERICK AVE,AUTO THEFT,Other,M,45.0,WHITE,SOUTHWEST,2023-05-31,12:00 AM,2023,31,May
9S,3500 COTTAGE AVE,SHOOTING,FIREARM,M,55.0,OTHER,NORTHWEST,2023-05-02,10:08 AM,2023,2,May
9S,5500 FORCE RD,SHOOTING,FIREARM,M,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-02,9:53 AM,2023,2,May
9S,1800 N WASHINGTON ST,SHOOTING,FIREARM,M,21.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-02,6:40 PM,2023,2,May
9S,4900 REISTERSTOWN RD,SHOOTING,FIREARM,M,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-05-02,6:51 AM,2023,2,May
9S,1800 ORLEANS ST,SHOOTING,FIREARM,M,17.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-02,9:24 PM,2023,2,May
5F,2100 E LOMBARD ST,BURGLARY,Other,F,44.0,WHITE,SOUTHEAST,2023-05-02,10:43 AM,2023,2,May
7C,500 S BEECHFIELD AVE,AUTO THEFT,Other,F,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-02,9:19 AM,2023,2,May
4A,3000 WOODHOME AVE,AGG. ASSAULT,HANDGUN,M,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-02,6:35 AM,2023,2,May
4E,3700 GREENVALE RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-02,7:05 AM,2023,2,May
4E,3700 GREENVALE RD,COMMON ASSAULT,PERSONAL_WEAPONS,M,26.0,WHITE,SOUTHWEST,2023-05-02,7:05 AM,2023,2,May
4B,2800 WINCHESTER ST,AGG. ASSAULT,PERSONAL_WEAPONS,M,40.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-02,7:05 AM,2023,2,May
4E,500 MILLINGTON AVE,COMMON ASSAULT,Other,F,38.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-02,7:27 AM,2023,2,May
4C,0 W 25TH ST,AGG. ASSAULT,MOTOR_VEHICLE_VESSEL,F,18.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-05-02,7:30 AM,2023,2,May
4B,2100 BARCLAY ST,AGG. ASSAULT,KNIFE_CUTTING_INSTRUMENT,M,26.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-05-02,12:00 PM,2023,2,May
7C,1400 MERIDENE DR,AUTO THEFT,Other,M,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,2023-05-02,7:00 AM,2023,2,May
4E,4600 PEN LUCY RD,COMMON ASSAULT,PERSONAL_WEAPONS,F,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,2023-05-02,6:30 PM,2023,2,May
3P,2400 N CHARLES ST,ROBBERY,PERSONAL_WEAPONS,M,34.0,WHITE,NORTHERN,2023-05-02,5:15 PM,2023,2,May
4A,1700 GWYNNS FALLS PKWY,AGG. ASSAULT,FIREARM,F,16.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-22,11:23 PM,2023,22,April
6D,4200 ERDMAN AVE,LARCENY FROM AUTO,Other,M,48.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,2023-04-22,1:18 PM,2023,22,April
7C,700 DRUID PARK LAKE DR,AUTO THEFT,Other,M,64.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,2023-04-22,9:00 PM,2023,22,April
7C,2600 FAIRVIEW AVE,AUTO THEFT,Other,M,35.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-04-22,3:00 PM,2023,22,April
7C,2200 N DUKELAND ST,AUTO THEFT,Other,M,20.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-22,10:34 PM,2023,22,April
6F,500 E JEFFREY ST,LARCENY,Other,F,36.0,OTHER,SOUTHERN,2023-04-22,10:00 AM,2023,22,April
6D,5600 HADDON AVE,LARCENY FROM AUTO,Other,F,55.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-04-23,3:05 AM,2023,23,April
7C,5600 HADDON AVE,AUTO THEFT,Other,F,21.0,WHITE,NORTHWEST,2023-04-23,3:05 AM,2023,23,April
6F,3600 W FOREST PARK AVE,LARCENY,Other,F,65.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,2023-04-22,6:00 PM,2023,22,April
4B,2200 W FAYETTE ST,AGG. ASSAULT,PERSONAL_WEAPONS,F,10.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,2023-04-23,5:00 AM,2023,23,April
4E,4100 W BELVEDERE AVE,COMMON ASSAULT,Other,M,48.0,WHITE,NORTHWEST,2023-04-21,6:22 PM,2023,21,April
